場所名稱,場所區域,場所地址,場所LAT,場所LNG,AED放置地點,AED地點描述,周一至周五起,周一至周五迄,周六起,周六迄,周日起,周日迄,開放使用時間備註,管理員姓名,連絡電話,開放時間緊急連絡電話,管理員AED訓練,AED廠牌,AED型號,AED序號,AED廠牌照片,AED場所位置照片1,AED場所位置照片2,AED場所位置照片3,AED場所位置照片4,AED場所位置照片5,AED場所位置照片6,AED場所位置照片7
金門國家公園湖井頭戰史館,烈嶼鎮,西口村湖井頭戰史館,24.446344,118.230861,湖井頭戰史館,戰史館服務台左側,00:00,23:59,00:00,23:59,00:00,23:59,每日08:00~17:00(除夕休館,李錫慶,082-364402,082-364405,Y,PHILIPS,FRX,B12A-02196,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92%E6%B9%96%E4%BA%95%E9%A0%AD%E6%88%B0%E5%8F%B2%E9%A4%A8/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92%E6%B9%96%E4%BA%95%E9%A0%AD%E6%88%B0%E5%8F%B2%E9%A4%A8/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92%E6%B9%96%E4%BA%95%E9%A0%AD%E6%88%B0%E5%8F%B2%E9%A4%A8/3.JPG?raw=true,,,,
八二三戰史館,金湖鎮,金門縣金湖山外里安民1-11號,24.443106,118.432298,八二三戰史館,八二三戰史館服務台前,00:00,23:59,00:00,23:59,00:00,23:59,,薛祖貴,082-330082,082-330082,N,PHILIPS,FRX,B12A-01714,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%85%AB%E4%BA%8C%E4%B8%89%E6%88%B0%E5%8F%B2%E9%A4%A8/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%85%AB%E4%BA%8C%E4%B8%89%E6%88%B0%E5%8F%B2%E9%A4%A8/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%85%AB%E4%BA%8C%E4%B8%89%E6%88%B0%E5%8F%B2%E9%A4%A8/3.jpg?raw=true,,,,
山后民俗文化村,金沙鎮,金門縣金沙鎮三山里山后62號,24.503412,118.441055,山后民俗文化村,山后民俗文化村海珠堂,00:00,23:59,00:00,23:59,00:00,23:59,,薛祖貴,082-330082,082-330082,N,PHILIPS,FRX,B12A-01850,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%B1%B1%E5%90%8E%E6%B0%91%E4%BF%97%E6%96%87%E5%8C%96%E6%9D%91/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%B1%B1%E5%90%8E%E6%B0%91%E4%BF%97%E6%96%87%E5%8C%96%E6%9D%91/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%B1%B1%E5%90%8E%E6%B0%91%E4%BF%97%E6%96%87%E5%8C%96%E6%9D%91/3.jpg?raw=true,,,,
迎賓館,金湖鎮,金門縣金湖鎮山外里黃海路72-1號,24.447223,118.417441,迎賓館,迎賓館服務台前,00:00,23:59,00:00,23:59,00:00,23:59,,薛祖貴,082-330082,082-330082,N,PHILIPS,FRX,B12A-02195,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E8%BF%8E%E8%B3%93%E9%A4%A8/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E8%BF%8E%E8%B3%93%E9%A4%A8/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E8%BF%8E%E8%B3%93%E9%A4%A8/3.jpg?raw=true,,,,
特約茶室展示館,金湖鎮,金門縣金湖鎮瓊林里小徑162號,24.448314,118.384834,特約茶室展示館,特約茶室展示館,00:00,23:59,00:00,23:59,00:00,23:59,,薛祖貴,082-330082,082-330082,N,PHILIPS,FRX,B12A-01878,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%89%B9%E7%B4%84%E8%8C%B6%E5%AE%A4%E5%B1%95%E7%A4%BA%E9%A4%A8/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%89%B9%E7%B4%84%E8%8C%B6%E5%AE%A4%E5%B1%95%E7%A4%BA%E9%A4%A8/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%89%B9%E7%B4%84%E8%8C%B6%E5%AE%A4%E5%B1%95%E7%A4%BA%E9%A4%A8/3.jpg?raw=true,,,,
金門國家公園管理處行政中心,金寧鎮,伯玉路2段460號,24.443253,118.351566,行政中心,一樓開標室,00:00,23:59,00:00,23:59,00:00,23:59,全天開放,蘇靜宜,082-313213,082-313100,Y,PHILIPS,FRX,B12A-01817,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92%E7%AE%A1%E7%90%86%E8%99%95%E8%A1%8C%E6%94%BF%E4%B8%AD%E5%BF%83/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92%E7%AE%A1%E7%90%86%E8%99%95%E8%A1%8C%E6%94%BF%E4%B8%AD%E5%BF%83/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E9%87%91%E9%96%80%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92%E7%AE%A1%E7%90%86%E8%99%95%E8%A1%8C%E6%94%BF%E4%B8%AD%E5%BF%83/3.JPG?raw=true,,,,
金門縣港務處水頭商港碼頭小三通通關大樓,金城鎮,西海路一段五號,24.414949,118.286692,水頭碼頭小三通通關中心,水頭碼頭 入境通關大樓 護理站台前右邊,07:30,18:30,07:30,18:30,07:30,18:30,,康彗容  洪若華,082-324280,082-324280,Y,PHILIPS,FRX,B12A-02327,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%873/%E9%87%91%E9%96%80%E7%B8%A3%E6%B8%AF%E5%8B%99%E8%99%95%E6%B0%B4%E9%A0%AD%E5%95%86%E6%B8%AF%E7%A2%BC%E9%A0%AD%E5%B0%8F%E4%B8%89%E9%80%9A%E9%80%9A%E9%97%9C%E5%A4%A7%E6%A8%93/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%873/%E9%87%91%E9%96%80%E7%B8%A3%E6%B8%AF%E5%8B%99%E8%99%95%E6%B0%B4%E9%A0%AD%E5%95%86%E6%B8%AF%E7%A2%BC%E9%A0%AD%E5%B0%8F%E4%B8%89%E9%80%9A%E9%80%9A%E9%97%9C%E5%A4%A7%E6%A8%93/2.jpg?raw=true,,,,,
金門縣金城鎮衛生所,金城鎮,民權路147號,24.436362,118.317792,衛生所門診部,國民黨正對面,08:00,17:00,08:00,12:00,,,,林佩珍,082-325059,082-325059,Y,PHILIPS,FR2,1109307889,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FR2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E9%87%91%E5%9F%8E%E9%8E%AE%E8%A1%9B%E7%94%9F%E6%89%80/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E9%87%91%E5%9F%8E%E9%8E%AE%E8%A1%9B%E7%94%9F%E6%89%80/2.jpg?raw=true,,,,,
銘傳大學金門分部,金沙鎮,德明路105號,24.500938,118.401353,綜合教學大樓一樓,綜合教學大樓一樓大廳櫃檯旁,08:00,17:00,00:00,00:00,00:00,,七、八月開放時間為周一至周四上午8點至下午4點，國定假日不開放,簡菁文,082355233#7056,082355233,Y,PHILIPS,FRX,B13G-01841,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E9%87%91%E9%96%80%E5%88%86%E9%83%A8/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E9%87%91%E9%96%80%E5%88%86%E9%83%A8/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E9%87%91%E9%96%80%E5%88%86%E9%83%A8/3.jpg?raw=true,,,,
交通部公路總局臺北市區監理所金門監理站,金湖鎮,黃海路6之1號,24.446855,118.418488,金門監理站辦公大樓1樓大廳,辦公大樓1樓入口左側牆面,08:00,17:30,,,,,"例假日及國定假日不上班,不開放使用",陳韻玫,082-332407-23,082332407,,PHILIPS,HS1,A13J-05183,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%BA%A4%E9%80%9A%E9%83%A8%E5%85%AC%E8%B7%AF%E7%B8%BD%E5%B1%80%E8%87%BA%E5%8C%97%E5%B8%82%E5%8D%80%E7%9B%A3%E7%90%86%E6%89%80%E9%87%91%E9%96%80%E7%9B%A3%E7%90%86%E7%AB%99/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%BA%A4%E9%80%9A%E9%83%A8%E5%85%AC%E8%B7%AF%E7%B8%BD%E5%B1%80%E8%87%BA%E5%8C%97%E5%B8%82%E5%8D%80%E7%9B%A3%E7%90%86%E6%89%80%E9%87%91%E9%96%80%E7%9B%A3%E7%90%86%E7%AB%99/2.JPG?raw=true,,,,,
中山林遊客中心,金寧鎮,伯玉路二段460號,24.443800,118.352347,中山林遊客中心,入口處服務台,08:30,17:00,08:30,17:00,08:30,17:00,（除夕休館）,陳筱梅,082-313190,082-313191,Y,PHILIPS,FRX,B13F-02623,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%B8%AD%E5%B1%B1%E6%9E%97%E9%81%8A%E5%AE%A2%E4%B8%AD%E5%BF%83/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%B8%AD%E5%B1%B1%E6%9E%97%E9%81%8A%E5%AE%A2%E4%B8%AD%E5%BF%83/2.jpg?raw=true,,,,,
